STAT_ID,BAN,TAMBON,DISTRICT,PROVINCE,UTM_E,UTM_N,YEAR,DATE,VALUE
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,1/10/2021,22.4
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,2/10/2021,2.6
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,3/10/2021,0.4
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,4/10/2021,0.2
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,5/10/2021,2.6
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,6/10/2021,3
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,7/10/2021,0.2
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,8/10/2021,0.2
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,9/10/2021,0.2
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,10/10/2021,3.8
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,11/10/2021,7.2
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,12/10/2021,13.8
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,13/10/2021,0.2
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,14/10/2021,7.6
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,15/10/2021,0.4
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,16/10/2021,0
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,17/10/2021,0
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,18/10/2021,1.8
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,19/10/2021,0.2
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,20/10/2021,0.2
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,21/10/2021,0.2
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,22/10/2021,2.4
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,23/10/2021,0.2
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,24/10/2021,2
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,25/10/2021,9
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,26/10/2021,0.2
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,27/10/2021,0.2
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,28/10/2021,0.2
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,29/10/2021,0
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,30/10/2021,12.4
BKT-0205,บ่อหลวง,บ่อเกลือใต้,บ่อเกลือ,น่าน,726815,2118657,2558,31/10/2021,0.8
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,1/10/2021,0
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,2/10/2021,0
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,3/10/2021,35.8
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,4/10/2021,0
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,5/10/2021,0
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,6/10/2021,0.8
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,7/10/2021,0.2
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,8/10/2021,0
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,9/10/2021,2.4
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,10/10/2021,11.6
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,11/10/2021,7.8
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,12/10/2021,18
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,13/10/2021,0
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,14/10/2021,6
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,15/10/2021,0
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,16/10/2021,0.8
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,17/10/2021,0
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,18/10/2021,1.8
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,19/10/2021,0
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,20/10/2021,0
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,21/10/2021,0.2
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,22/10/2021,5.2
PF1-0205,นากอก,ภูฟ้า,บ่อเกลือ,น่าน,728778,2106209,2558,23/10/2021,0
