จังหวัด,ผลผลิต(ตัน),สัดส่วน,เนื้อที่เก็บเกี่ยว(ไร่),ผลผลิตต่อเนื้อที่เก็บเกี่ยว(กก.)
สุพรรณบุรี,"603,384",10%,"820,261",735.6
อยุธยา,"461,714",7%,"647,718",712.83
นครสวรรค์,"346,383",6%,"521,396",664.34
พิจิตร,"307,387",5%,"469,754",654.36
พิษณุโลก,"278,354",5%,"454,696",612.18
สุโขทัย,"261,247",4%,"460,376",567.46
ชัยนาท,"243,526",4%,"367,056",663.46
กำแพงเพชร,"241,027",4%,"387,700",621.68
ฉะเชิงเทรา,"214,637",3%,"316,756",677.61
เชียงราย,"213,049",3%,"334,463",636.99
อุตรดิตถ์,"186,608",3%,"288,394",647.06
นครปฐม,"181,153",3%,"234,775",771.6
กาฬสินธุ์,"179,656",3%,"274,887",653.56
นครราชสีมา,"172,565",3%,"269,407",640.54
ปทุมธานี,"148,989",2%,"208,724",713.81
ร้อยเอ็ด,"136,586",2%,"239,893",569.36
กาญจนบุรี,"131,152",2%,"179,128",732.17
ลพบุรี,"129,828",2%,"204,402",635.16
ราชบุรี,"113,933",2%,"159,189",715.71
เพชรบุรี,"110,986",2%,"154,109",720.18
มหาสารคาม,"107,293",2%,"178,204",602.08
สิงห์บุรี,"106,462",2%,"158,510",671.64
นครนายก,"100,217",2%,"152,805",655.85
อ่างทอง,"99,868",2%,"154,160",647.82
สระบุรี,"95,702",2%,"146,284",654.22
ขอนแก่น,"79,951",1%,"138,243",578.34
อุบลราชธานี,"79,618",1%,"165,902",479.91
ปราจีนบุรี,"77,814",1%,"124,479",625.12
อุทัยธานี,"71,074",1%,"110,733",641.85
เชียงใหม่,"58,390",1%,"85,466",683.2
นนทบุรี,"56,382",1%,"77,962",723.2
ชัยภูมิ,"51,299",1%,"82,019",625.45
กรุงเทพมหานคร,"48,128",1%,"73,539",654.46
หนองคาย,"46,557",1%,"88,909",523.65
ยโสธร,"37,832",1%,"67,199",562.98
นครพนม,"36,385",1%,"70,376",517.01
ศรีสะเกษ,"35,426",1%,"68,618",516.28
สกลนคร,"29,930",0%,"63,243",473.25
พะเยา,"26,745",0%,"42,966",622.47
อุดรธานี,"23,252",0%,"45,041",516.24
บุรีรัมย์,"22,614",0%,"43,423",520.78
ชลบุรี,"22,307",0%,"33,674",662.44
เพชรบูรณ์,"21,425",0%,"36,876",581
สระแก้ว,"20,442",0%,"32,727",624.62
สุรินทร์,"19,839",0%,"44,464",446.18
แพร่,"18,453",0%,"31,761",581
พัทลุง,"14,314",0%,"27,443",521.59
ยะลา,"12,634",0%,"20,508",616.05
ลำปาง,"12,527",0%,"24,140",518.93
หนองบัวลำภู,"12,451",0%,"24,519",507.81
สมุทรปราการ,"10,110",0%,"14,712",687.19
สงขลา,"8,488",0%,"15,576",544.94
บึงกาฬ,"7,520",0%,"14,582",515.7
ตาก,"7,213",0%,"13,204",546.27
น่าน,"7,175",0%,"12,543",572.03
ประจวบคีรีขันธ์,"5,857",0%,"9,775",599.18
ลำพูน,"5,152",0%,"7,355",700.48
นครศรีธรรมราช,"2,416",0%,"5,179",466.5
ระยอง,"1,877",0%,"3,438",545.96
สมุทรสาคร,"1,750",0%,"2,547",687.08
ตราด,"1,389",0%,"2,462",564.18
อำนาจเจริญ,"1,219",0%,"2,511",485.46
สมุทรสงคราม,"1,133",0%,"1,605",705.92
สุราษฎร์ธานี,886,0%,"1,908",464.36
มุกดาหาร,640,0%,"1,193",536.46
นราธิวาส,298,0%,580,513.79
เลย,278,0%,703,395.45
ชุมพร,228,0%,459,496.73
แม่ฮ่องสอน,60,0%,107,560.75
ตรัง,9,0%,27,333.33
ปัตตานี,4,0%,60,66.67
